100 
126,159
125,59
195,41
157,82
35,6
26,17
72,2
85,77
12,107
153,131
128,73
86,128
32,157
76,158
84,109
133,64
89,2
119,4
175,198
87,159
51,101
24,17
196,156
60,92
107,9
2,161
90,119
175,125
75,77
131,189
28,78
169,121
158,9
33,96
177,119
162,78
189,61
180,31
142,11
143,27
104,66
19,193
110,176
183,145
154,2
148,91
81,68
160,187
37,124
190,199
3,51
65,127
173,84
167,58
141,82
183,195
22,44
9,113
71,16
15,2
82,118
136,171
101,19
159,53
72,145
22,63
19,1
44,56
125,149
172,67
103,157
137,138
84,24
168,149
148,11
166,98
193,62
42,99
155,194
99,64
114,183
116,58
118,107
122,186
86,1
148,163
101,178
63,196
38,117
35,121
58,158
62,56
178,2
132,62
182,59
21,114
39,115
18,124
47,35
195,64
